Timestamp,What best describes the place you grew up in? ,How often do you make purchases that you hadn’t planned for?,"When considering a purchase, how important are the following factors to you?  [Price/Cost]","When considering a purchase, how important are the following factors to you?  [Brand reputation]","When considering a purchase, how important are the following factors to you?  [Peer recommendation]","When considering a purchase, how important are the following factors to you?  [Long-term utility/value]","On average, how much do you spend per month (excluding tuition fees)? ",How confident do you feel in your ability to manage your personal finances? ,How do you track your monthly expenditures? ,"On a scale of 1 to 5, how much do social events or peer pressure influence your spending? ",In which categories do you spend the majority of your budget?  [Food & Dining],In which categories do you spend the majority of your budget?  [Travel],In which categories do you spend the majority of your budget?  [Fashion],"In which categories do you spend the majority of your budget?  [Subscriptions (Netflix, Spotify, etc.)]",In which categories do you spend the majority of your budget?  [Fun & Entertainment],"In which of the following scenarios would you justify an unexpected expense of ₹1,500 or more?",What is the expected graph for your expenditure for the months 
3/10/2026 14:45:01,🏙️ Big metro city,3,Very important,Slightly important,Slightly important,Very important,5,3,I check my bank balance occasionally.,4,Answer,,,,Answer,"Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/10/2026 16:33:08,🏢 Medium-sized city,1,Slightly important,Slightly important,Slightly important,Slightly important,10,1,I do not keep the track,2,Answer,,,,,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses
3/10/2026 16:35:21,🏙️ Big metro city,1,Very important,Slightly important,Slightly important,Very important,3,5,I use a dedicated expense-tracking app or spreadsheet.,4,Answer,Answer,,,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 17:35:57,🏢 Medium-sized city,3,Very important,Slightly important,Not important,Very important,1,3,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 19:04:06,🏢 Medium-sized city,3,Slightly important,Very important,Not important,Very important,4,5,I check my bank balance occasionally.,4,Answer,,,Answer,,"A 50% discount on a brand I highly value., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 19:27:51,🏘️ Small town,3,Very important,Slightly important,Slightly important,Very important,4,3,I check my bank balance occasionally.,5,Answer,Answer,Answer,Answer,Answer,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 19:29:23,🏢 Medium-sized city,1,Slightly important,Very important,Slightly important,Very important,1,5,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,Answer,"Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/10/2026 19:32:02,🏙️ Big metro city,4,Slightly important,Very important,Not important,Very important,5,5,I check my bank balance occasionally.,3,Answer,Answer,Answer,Answer,Answer,Social celebrations or parties.,Uniform Daily Expenses
3/10/2026 19:33:15,🏢 Medium-sized city,4,Slightly important,Slightly important,Slightly important,Slightly important,4,5,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,Answer,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 19:38:21,🌾 Rural area,2,Slightly important,Not important,Not important,Slightly important,1,4,I check my bank balance occasionally.,4,Answer,Answer,Answer,Answer,Answer,A planned trip with friends.,Irregular and Random Spending
3/10/2026 19:47:36,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Very important,1,4,I check my bank balance occasionally.,3,Answer,Answer,Answer,Answer,Answer,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:02:29,🏘️ Small town,1,Very important,Very important,Slightly important,Very important,1,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Steady Weekdays with High Weekends
3/10/2026 20:09:18,🏙️ Big metro city,3,Very important,Slightly important,Slightly important,Very important,4,3,I check my bank balance occasionally.,2,Answer,Answer,Answer,Answer,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:10:12,🏘️ Small town,1,Very important,Slightly important,Very important,Very important,4,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 20:10:37,🏢 Medium-sized city,5,Very important,Very important,Very important,Not important,10,1,I do not keep the track,5,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 20:10:48,🏢 Medium-sized city,2,Slightly important,Very important,Slightly important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:14:23,🏘️ Small town,5,Very important,Not important,Slightly important,Very important,5,2,"I review my history within payment apps (e.g., UPI, Paytm).",5,Answer,,,,Answer,"A 50% discount on a brand I highly value., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 20:20:00,🏘️ Small town,1,Very important,Very important,Slightly important,Slightly important,2,4,I do not keep the track,1,Answer,Answer,,,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:26:17,🏢 Medium-sized city,3,Slightly important,Very important,Slightly important,Slightly important,2,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,,Answer,,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 20:26:18,🏢 Medium-sized city,2,Very important,Slightly important,Very important,Slightly important,3,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,Answer,,,Answer,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 20:39:22,🏘️ Small town,1,Very important,Not important,Slightly important,Very important,3,5,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,Answer,Answer,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:40:58,🏙️ Big metro city,2,Very important,Slightly important,Very important,Very important,1,3,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,Answer,,,,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses
3/10/2026 20:44:47,🏢 Medium-sized city,3,Very important,Very important,Not important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/10/2026 20:46:57,🏢 Medium-sized city,3,Slightly important,Very important,Slightly important,Slightly important,2,3,I do not keep the track,2,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 20:49:23,🏢 Medium-sized city,3,Slightly important,Very important,Slightly important,Very important,6,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,,,Answer,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 20:54:12,🏢 Medium-sized city,4,Very important,Slightly important,Not important,Slightly important,6,2,I do not keep the track,2,Answer,Answer,,,,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 20:57:10,🏢 Medium-sized city,1,Slightly important,Slightly important,Not important,Slightly important,1,5,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,,Answer,,,"Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/10/2026 21:00:26,🏘️ Small town,2,Very important,Slightly important,Slightly important,Very important,3,5,I use a dedicated expense-tracking app or spreadsheet.,1,Answer,,,,,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Spend a lot once and then low spending for rest
3/10/2026 21:00:59,🏢 Medium-sized city,2,Very important,Slightly important,Not important,Very important,2,3,I check my bank balance occasionally.,2,Answer,,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 21:01:40,🏘️ Small town,3,Slightly important,Slightly important,Slightly important,Very important,5,3,I use a dedicated expense-tracking app or spreadsheet.,4,Answer,Answer,,,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 21:03:54,🏘️ Small town,3,Very important,Slightly important,Slightly important,Very important,3,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,,,,,A planned trip with friends.,Steady Weekdays with High Weekends
3/10/2026 21:04:54,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,Answer,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 21:05:33,🏘️ Small town,3,Very important,Very important,Very important,Very important,1,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,A planned trip with friends.,Irregular and Random Spending
3/10/2026 21:07:27,🏢 Medium-sized city,1,Very important,Slightly important,Not important,Very important,1,3,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",None
3/10/2026 21:07:41,🏙️ Big metro city,5,Not important,Very important,Not important,Not important,10,5,I do not keep the track,1,Answer,Answer,Answer,,,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 21:10:44,🏢 Medium-sized city,5,Not important,Very important,Not important,Not important,6,1,I check my bank balance occasionally.,1,Answer,,Answer,Answer,Answer,Social celebrations or parties.,None
3/10/2026 21:10:46,🏘️ Small town,1,Very important,Very important,Very important,Very important,5,5,I do not keep the track,5,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/10/2026 21:14:02,🏘️ Small town,5,Very important,Very important,Very important,Very important,1,3,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,Answer,,,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Steady Weekdays with High Weekends
3/10/2026 21:16:34,🏢 Medium-sized city,3,Slightly important,Slightly important,Not important,Not important,4,3,I do not keep the track,2,,Answer,,,,"Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 21:16:58,🏢 Medium-sized city,4,Slightly important,Slightly important,Not important,Slightly important,10,5,I do not keep the track,2,Answer,Answer,,Answer,Answer,"Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/10/2026 21:17:16,🏢 Medium-sized city,1,Slightly important,Slightly important,Slightly important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,Answer,,,Social celebrations or parties.,Irregular and Random Spending
3/10/2026 21:17:27,🏙️ Big metro city,3,Very important,Slightly important,Slightly important,Very important,4,3,I do not keep the track,5,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 21:20:56,🏢 Medium-sized city,2,Slightly important,Slightly important,Not important,Very important,8,3,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,,,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/10/2026 21:22:34,🏢 Medium-sized city,3,Slightly important,Not important,Slightly important,Slightly important,2,5,I check my bank balance occasionally.,1,Answer,Answer,,,Answer,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Spend a lot once and then low spending for rest
3/10/2026 21:23:18,🏢 Medium-sized city,2,Slightly important,Not important,Slightly important,Slightly important,4,4,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,,Answer,,,"Emergencies (e.g., phone/laptop repair).",Steady Weekdays with High Weekends
3/10/2026 21:24:22,🏢 Medium-sized city,3,Slightly important,Very important,Not important,Very important,4,5,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,,,,,"Skill development (workshops, certifications, technical kits).",Steady Weekdays with High Weekends
3/10/2026 21:24:24,🏢 Medium-sized city,2,Very important,Slightly important,Very important,Very important,6,3,I check my bank balance occasionally.,2,Answer,,,,Answer,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 21:26:10,🏢 Medium-sized city,3,Very important,Slightly important,Not important,Slightly important,3,3,I do not keep the track,2,Answer,,Answer,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Steady Weekdays with High Weekends
3/10/2026 21:26:36,🏢 Medium-sized city,1,Slightly important,Very important,Slightly important,Very important,1,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,Answer,,,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 21:27:01,🏙️ Big metro city,4,Very important,Slightly important,Slightly important,Very important,5,5,I check my bank balance occasionally.,2,Answer,,,,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 21:27:41,🏙️ Big metro city,1,Not important,Not important,Not important,Not important,1,1,I check my bank balance occasionally.,1,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses
3/10/2026 21:28:32,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Very important,1,5,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 21:33:15,🏢 Medium-sized city,4,Not important,Slightly important,Not important,Slightly important,3,2,I do not keep the track,3,Answer,,,Answer,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 21:33:21,🏢 Medium-sized city,4,Very important,Very important,Very important,Very important,5,4,I use a dedicated expense-tracking app or spreadsheet.,4,Answer,,,Answer,Answer,Social celebrations or parties.,Uniform Daily Expenses
3/10/2026 21:34:10,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Slightly important,5,2,I check my bank balance occasionally.,5,Answer,Answer,,,Answer,"Social celebrations or parties., A planned trip with friends.",Irregular and Random Spending
3/10/2026 21:37:09,🏘️ Small town,3,Very important,Slightly important,Slightly important,Very important,2,2,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,,,,"Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 21:39:25,🏢 Medium-sized city,3,Very important,Very important,Slightly important,Very important,8,2,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,,"A 50% discount on a brand I highly value., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
