Timestamp,What best describes the place you grew up in? ,How often do you make purchases that you hadn’t planned for?,"When considering a purchase, how important are the following factors to you?  [Price/Cost]","When considering a purchase, how important are the following factors to you?  [Brand reputation]","When considering a purchase, how important are the following factors to you?  [Peer recommendation]","When considering a purchase, how important are the following factors to you?  [Long-term utility/value]","On average, how much do you spend per month (excluding tuition fees)? ",How confident do you feel in your ability to manage your personal finances? ,How do you track your monthly expenditures? ,"On a scale of 1 to 5, how much do social events or peer pressure influence your spending? ",In which categories do you spend the majority of your budget?  [Food & Dining],In which categories do you spend the majority of your budget?  [Travel],In which categories do you spend the majority of your budget?  [Fashion],"In which categories do you spend the majority of your budget?  [Subscriptions (Netflix, Spotify, etc.)]",In which categories do you spend the majority of your budget?  [Fun & Entertainment],"In which of the following scenarios would you justify an unexpected expense of ₹1,500 or more?",What is the expected graph for your expenditure for the months 
3/10/2026 21:43:18,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Very important,5,3,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,,,,,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 21:45:32,🏙️ Big metro city,2,Very important,Very important,Not important,Slightly important,2,5,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,,,,A 50% discount on a brand I highly value.,Spend a lot once and then low spending for rest
3/10/2026 21:51:06,🏙️ Big metro city,5,Very important,Very important,Very important,Very important,4,4,I do not keep the track,2,Answer,,,,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 21:58:51,🏙️ Big metro city,1,Very important,Very important,Slightly important,Very important,5,3,I check my bank balance occasionally.,3,Answer,,Answer,Answer,Answer,"A 50% discount on a brand I highly value., A planned trip with friends.",Uniform Daily Expenses
3/10/2026 21:58:57,🏘️ Small town,4,Very important,Slightly important,Very important,Not important,9,1,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 22:02:48,🏢 Medium-sized city,1,Slightly important,Slightly important,Not important,Slightly important,7,2,"I review my history within payment apps (e.g., UPI, Paytm).",1,,Answer,,,,A planned trip with friends.,Spend a lot once and then low spending for rest
3/10/2026 22:05:08,🏢 Medium-sized city,2,Very important,Slightly important,Not important,Very important,2,3,I use a dedicated expense-tracking app or spreadsheet.,2,Answer,,,Answer,Answer,"Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/10/2026 22:06:48,🏢 Medium-sized city,2,Very important,Slightly important,Very important,Slightly important,1,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,"Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/10/2026 22:19:02,🏢 Medium-sized city,3,Very important,Slightly important,Not important,Slightly important,3,5,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,,Answer,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 22:20:03,🏘️ Small town,3,Very important,Not important,Slightly important,Very important,2,5,I use a dedicated expense-tracking app or spreadsheet.,2,Answer,Answer,Answer,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/10/2026 22:22:45,🏘️ Small town,1,Slightly important,Slightly important,Not important,Slightly important,2,2,I check my bank balance occasionally.,4,Answer,,,,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 22:31:43,🌾 Rural area,1,Slightly important,Slightly important,Slightly important,Very important,1,5,I do not keep the track,1,Answer,,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/10/2026 22:33:55,🏢 Medium-sized city,4,Very important,Slightly important,Not important,Very important,6,5,"I review my history within payment apps (e.g., UPI, Paytm).",2,,,Answer,,,A 50% discount on a brand I highly value.,Steady Weekdays with High Weekends
3/10/2026 22:34:17,🏢 Medium-sized city,4,Slightly important,Slightly important,Not important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,,Answer,,Answer,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits).",Uniform Daily Expenses
3/10/2026 22:35:21,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Slightly important,5,3,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/10/2026 22:36:28,🏢 Medium-sized city,2,Very important,Very important,Slightly important,Very important,4,3,"I review my history within payment apps (e.g., UPI, Paytm).",3,,Answer,,,,"Social celebrations or parties., A planned trip with friends.",Spend a lot once and then low spending for rest
3/10/2026 22:41:14,🏢 Medium-sized city,3,Very important,Slightly important,Slightly important,Very important,5,4,I check my bank balance occasionally.,2,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/10/2026 23:05:46,🌾 Rural area,2,Very important,Slightly important,Not important,Very important,1,4,I do not keep the track,2,Answer,Answer,,,,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/11/2026 0:23:58,🏘️ Small town,3,Very important,Slightly important,Very important,Very important,2,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/11/2026 0:24:49,🏢 Medium-sized city,2,Very important,Slightly important,Slightly important,Very important,3,3,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,Answer,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/11/2026 0:46:20,🏢 Medium-sized city,4,Very important,Slightly important,Slightly important,Slightly important,6,2,I do not keep the track,3,Answer,,Answer,,,"A 50% discount on a brand I highly value., Social celebrations or parties.",Steady Weekdays with High Weekends
3/11/2026 0:57:16,🏢 Medium-sized city,3,Slightly important,Very important,Very important,Very important,8,5,I check my bank balance occasionally.,5,Answer,,,,Answer,A planned trip with friends.,Uniform Daily Expenses
3/11/2026 1:52:23,🏢 Medium-sized city,4,Very important,Not important,Not important,Very important,2,1,I check my bank balance occasionally.,3,Answer,,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/11/2026 2:06:32,🏢 Medium-sized city,3,Slightly important,Slightly important,Slightly important,Slightly important,6,3,I check my bank balance occasionally.,3,Answer,,,,Answer,"Social celebrations or parties., Skill development (workshops, certifications, technical kits).",Irregular and Random Spending
3/11/2026 6:21:46,🏢 Medium-sized city,3,Slightly important,Very important,Slightly important,Slightly important,4,3,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,,Answer,,Social celebrations or parties.,Steady Weekdays with High Weekends
3/11/2026 7:00:54,🏘️ Small town,3,Very important,Slightly important,Very important,Slightly important,3,2,I use a dedicated expense-tracking app or spreadsheet.,1,Answer,Answer,Answer,,,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., A planned trip with friends.",Irregular and Random Spending
3/11/2026 7:02:07,🌾 Rural area,1,Very important,Slightly important,Not important,Very important,1,1,I do not keep the track,1,,,,,,"Skill development (workshops, certifications, technical kits).",None
3/11/2026 10:00:39,🌾 Rural area,2,Slightly important,Slightly important,Slightly important,Not important,3,2,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,A 50% discount on a brand I highly value.,Irregular and Random Spending
3/11/2026 10:13:58,🏙️ Big metro city,4,Very important,Slightly important,Not important,Very important,7,3,"I review my history within payment apps (e.g., UPI, Paytm).",5,Answer,,,,,A planned trip with friends.,Irregular and Random Spending
3/11/2026 11:05:08,🏢 Medium-sized city,2,Very important,Slightly important,Slightly important,Not important,2,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,,,,"Skill development (workshops, certifications, technical kits).",Steady Weekdays with High Weekends
3/11/2026 13:26:45,🏢 Medium-sized city,2,Slightly important,Slightly important,Not important,Slightly important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/11/2026 13:41:35,🏢 Medium-sized city,3,Very important,Very important,Slightly important,Slightly important,5,3,I do not keep the track,3,Answer,,,,,A planned trip with friends.,Steady Weekdays with High Weekends
3/11/2026 13:55:52,🏢 Medium-sized city,1,Slightly important,Slightly important,Not important,Slightly important,4,3,I do not keep the track,1,Answer,,,,,A planned trip with friends.,Uniform Daily Expenses
3/11/2026 14:13:49,🌾 Rural area,2,Very important,Slightly important,Slightly important,Very important,3,4,I use a dedicated expense-tracking app or spreadsheet.,2,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Spend a lot once and then low spending for rest
3/11/2026 15:05:24,🏙️ Big metro city,5,Not important,Slightly important,Slightly important,Slightly important,9,2,I do not keep the track,5,Answer,,Answer,,,"A 50% discount on a brand I highly value., Social celebrations or parties.",Steady Weekdays with High Weekends
3/11/2026 15:24:09,🏢 Medium-sized city,1,Slightly important,Very important,Slightly important,Very important,9,4,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/11/2026 17:07:44,🏘️ Small town,1,Slightly important,Not important,Not important,Very important,5,5,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,,Answer,,,"Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/11/2026 17:22:55,🏘️ Small town,2,Very important,Slightly important,Slightly important,Very important,2,3,"I review my history within payment apps (e.g., UPI, Paytm).",3,,Answer,,,,A planned trip with friends.,Irregular and Random Spending
3/11/2026 23:01:52,🏢 Medium-sized city,2,Very important,Slightly important,Slightly important,Very important,1,4,I check my bank balance occasionally.,4,Answer,Answer,,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/12/2026 11:45:18,🌾 Rural area,5,Very important,Very important,Very important,Very important,10,5,I use a dedicated expense-tracking app or spreadsheet.,5,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Spend a lot once and then low spending for rest
3/12/2026 21:26:32,🏙️ Big metro city,3,Slightly important,Very important,Slightly important,Very important,3,5,I check my bank balance occasionally.,2,Answer,Answer,Answer,Answer,Answer,A 50% discount on a brand I highly value.,Spend a lot once and then low spending for rest
3/12/2026 21:43:56,🏢 Medium-sized city,1,Very important,Slightly important,Slightly important,Very important,2,1,"I review my history within payment apps (e.g., UPI, Paytm).",1,Answer,Answer,,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/12/2026 21:56:46,🏙️ Big metro city,3,Slightly important,Very important,Slightly important,Very important,3,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,Answer,,,Answer,"Social celebrations or parties., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Spend a lot once and then low spending for rest
3/13/2026 10:33:01,🏢 Medium-sized city,3,Very important,Not important,Slightly important,Slightly important,4,2,I do not keep the track,2,Answer,,,,,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses
3/13/2026 13:38:47,🌾 Rural area,2,Very important,Slightly important,Not important,Very important,1,4,I check my bank balance occasionally.,2,,,Answer,,,"Emergencies (e.g., phone/laptop repair).",Irregular and Random Spending
3/13/2026 14:00:01,🏘️ Small town,4,Slightly important,Very important,Not important,Slightly important,3,2,I check my bank balance occasionally.,1,Answer,Answer,,,,"Social celebrations or parties., A planned trip with friends.",Irregular and Random Spending
3/13/2026 14:02:51,🏢 Medium-sized city,3,Slightly important,Very important,Not important,Very important,5,2,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,,,Answer,"A 50% discount on a brand I highly value., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/13/2026 14:32:27,🏙️ Big metro city,4,Very important,Slightly important,Very important,Very important,4,4,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,Answer,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses
3/14/2026 11:42:38,🏢 Medium-sized city,2,Slightly important,Slightly important,Slightly important,Slightly important,4,5,I use a dedicated expense-tracking app or spreadsheet.,3,,Answer,,Answer,Answer,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/14/2026 11:43:16,🏢 Medium-sized city,1,Very important,Slightly important,Slightly important,Very important,10,5,I use a dedicated expense-tracking app or spreadsheet.,3,Answer,Answer,,Answer,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/14/2026 11:43:26,🏙️ Big metro city,3,Slightly important,Not important,Slightly important,Slightly important,9,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,Answer,,Answer,Answer,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/14/2026 11:44:06,🏘️ Small town,1,Slightly important,Not important,Not important,Not important,1,1,I do not keep the track,1,,Answer,,,,"Emergencies (e.g., phone/laptop repair).",None
3/14/2026 11:44:07,🏢 Medium-sized city,2,Very important,Very important,Very important,Very important,10,3,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,Answer,,Answer,Answer,"Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair).",Spend a lot once and then low spending for rest
3/14/2026 11:46:29,🏘️ Small town,3,Not important,Slightly important,Slightly important,Slightly important,4,2,"I review my history within payment apps (e.g., UPI, Paytm).",3,,Answer,Answer,,,"Social celebrations or parties., Skill development (workshops, certifications, technical kits).",Steady Weekdays with High Weekends
3/14/2026 11:46:59,🏢 Medium-sized city,4,Not important,Very important,Slightly important,Not important,6,5,I check my bank balance occasionally.,4,,,Answer,,Answer,"Social celebrations or parties., A planned trip with friends.",Steady Weekdays with High Weekends
3/14/2026 11:47:28,🏙️ Big metro city,4,Not important,Not important,Slightly important,Slightly important,10,3,I do not keep the track,4,,,,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties.",Irregular and Random Spending
3/14/2026 11:48:08,🏢 Medium-sized city,3,Not important,Not important,Very important,Not important,1,4,I do not keep the track,2,,,,,Answer,"Emergencies (e.g., phone/laptop repair).",Uniform Daily Expenses
3/14/2026 11:49:39,🏢 Medium-sized city,2,Very important,Slightly important,Slightly important,Very important,2,4,I do not keep the track,2,Answer,,,,Answer,"Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/14/2026 11:52:05,🏙️ Big metro city,5,Not important,Very important,Very important,Slightly important,10,2,I check my bank balance occasionally.,5,,Answer,Answer,Answer,,Social celebrations or parties.,Steady Weekdays with High Weekends
3/14/2026 11:53:00,🏙️ Big metro city,5,Very important,Very important,Very important,Very important,7,5,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",Irregular and Random Spending
3/14/2026 11:53:59,🏙️ Big metro city,5,Very important,Very important,Very important,Very important,5,5,I check my bank balance occasionally.,3,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Irregular and Random Spending
3/14/2026 11:54:35,🏙️ Big metro city,5,Very important,Very important,Very important,Very important,10,4,"I review my history within payment apps (e.g., UPI, Paytm).",4,Answer,Answer,Answer,Answer,Answer,"A 50% discount on a brand I highly value., Social celebrations or parties., Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/14/2026 20:30:46,🏢 Medium-sized city,1,Very important,Slightly important,Slightly important,Very important,10,2,"I review my history within payment apps (e.g., UPI, Paytm).",2,Answer,,Answer,,,"Skill development (workshops, certifications, technical kits)., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Steady Weekdays with High Weekends
3/14/2026 21:40:48,🏢 Medium-sized city,4,Very important,Very important,Slightly important,Very important,9,4,"I review my history within payment apps (e.g., UPI, Paytm).",5,Answer,,Answer,Answer,Answer,A 50% discount on a brand I highly value.,Irregular and Random Spending
3/14/2026 21:41:22,🏢 Medium-sized city,5,Slightly important,Slightly important,Very important,Very important,9,5,I do not keep the track,5,Answer,Answer,Answer,,Answer,Social celebrations or parties.,Irregular and Random Spending
3/17/2026 11:36:03,🏙️ Big metro city,3,Very important,Slightly important,Slightly important,Very important,6,4,"I review my history within payment apps (e.g., UPI, Paytm).",3,Answer,,Answer,,,"A 50% discount on a brand I highly value., Emergencies (e.g., phone/laptop repair)., A planned trip with friends.",Uniform Daily Expenses